PR_Month,Delivery_Month,Material,PR_Qty,Delivery_Qty
3,3,51001100224004,0,0
4,4,51001100224004,0,0
5,5,51001100224004,0,0
6,6,51001100224004,0,0
7,7,51001100224004,0,0
8,8,51001100224004,0,0
9,9,51001100224004,0,0
10,11,51001100224004,90,90
11,11,51001100224004,0,0
12,12,51001100224004,0,0
1,1,51001120101002,0,0
2,2,51001120101002,0,0
3,3,51001120101002,0,0
4,4,51001120101002,0,0
5,5,51001120101002,80,80
6,6,51001120101002,0,0
7,7,51001120101002,0,0
8,8,51001120101002,0,0
9,9,51001120101002,0,0
10,10,51001120101002,0,0
11,11,51001120101002,12,12
12,12,51001120101002,0,0
1,1,51001120303001,0,0
2,3,51001120303001,4,4
3,3,51001120303001,0,0
4,4,51001120303001,0,0
5,5,51001120303001,0,0
6,6,51001120303001,0,0
7,7,51001120303001,0,0
8,8,51001120303001,0,0
9,9,51001120303001,0,0
10,10,51001120303001,2,2
11,11,51001120303001,0,0
12,12,51001120303001,0,0
1,1,51001120324013,0,0
2,2,51001120324013,0,0
3,3,51001120324013,0,0
4,4,51001120324013,0,0
5,5,51001120324013,0,0
6,6,51001120324013,0,0
7,7,51001120324013,20,20
8,8,51001120324013,0,0
9,9,51001120324013,0,0
10,10,51001120324013,0,0
11,11,51001120324013,8,8
12,12,51001120324013,0,0
1,1,51002010103004,0,0
2,2,51002010103004,0,0
3,3,51002010103004,0,0
4,4,51002010103004,0,0
5,5,51002010103004,0,0
6,6,51002010103004,0,0
7,7,51002010103004,12,12
8,8,51002010103004,0,0
9,9,51002010103004,0,0
10,10,51002010103004,0,0
11,11,51002010103004,0,0
12,12,51002010103004,0,0
1,1,51002010104001,0,0
2,2,51002010104001,120,120
3,3,51002010104001,0,0
4,4,51002010104001,0,0
5,5,51002010104001,0,0
6,6,51002010104001,0,0
7,7,51002010104001,0,0
8,8,51002010104001,0,0
9,9,51002010104001,0,0
10,10,51002010104001,0,0
11,11,51002010104001,0,0
12,12,51002010104001,0,0
1,1,51002030102001,0,0
2,2,51002030102001,5,5
3,3,51002030102001,10,10
4,4,51002030102001,0,0
5,5,51002030102001,5,5
6,6,51002030102001,6,6
7,7,51002030102001,0,0
8,8,51002030102001,10,10
9,9,51002030102001,4,4
10,10,51002030102001,4,4
11,11,51002030102001,0,0
12,12,51002030102001,0,0
1,1,51002030105003,0,0
2,2,51002030105003,0,0
3,3,51002030105003,20,20
4,4,51002030105003,0,0
5,5,51002030105003,0,0
6,6,51002030105003,0,0
7,7,51002030105003,0,0
8,8,51002030105003,300,300
9,9,51002030105003,0,0
10,10,51002030105003,0,0
11,11,51002030105003,150,150
11,12,51002030105003,60,60
12,12,51002030105003,0,0
1,1,51002030105005,0,0
2,2,51002030105005,0,0
3,3,51002030105005,180,180
4,4,51002030105005,0,0
5,5,51002030105005,0,0
6,6,51002030105005,0,0
7,7,51002030105005,0,0
8,8,51002030105005,0,0
9,9,51002030105005,0,0
10,10,51002030105005,0,0
11,11,51002030105005,0,0
12,12,51002030105005,0,0
1,1,51002030201003,10,10
1,2,51002030201003,10,10
2,2,51002030201003,20,20
3,3,51002030201003,0,0
4,4,51002030201003,20,20
5,5,51002030201003,20,20
6,6,51002030201003,0,0
7,7,51002030201003,30,30
8,8,51002030201003,0,0
9,9,51002030201003,10,10
10,10,51002030201003,20,20
11,11,51002030201003,10,10
12,12,51002030201003,0,0
1,1,51003010502008,0,0
2,2,51003010502008,0,0
3,3,51003010502008,0,0
4,4,51003010502008,0,0
5,5,51003010502008,0,0
6,7,51003010502008,4,4
7,7,51003010502008,0,0
8,8,51003010502008,0,0
9,9,51003010502008,2,2
10,10,51003010502008,3,3
11,11,51003010502008,0,0
12,12,51003010502008,0,0
1,1,51003010502017,0,0
2,2,51003010502017,0,0
3,3,51003010502017,500,500
4,4,51003010502017,0,0
5,5,51003010502017,500,500
6,6,51003010502017,0,0
7,7,51003010502017,500,500
8,8,51003010502017,0,0
9,9,51003010502017,500,500
10,10,51003010502017,1000,1000
11,11,51003010502017,500,500
12,12,51003010502017,0,0
1,1,51003050101006,0,0
2,2,51003050101006,0,0
3,3,51003050101006,0,0
4,4,51003050101006,15,15
5,5,51003050101006,0,0
6,6,51003050101006,0,0
7,7,51003050101006,0,0
8,8,51003050101006,0,0
9,9,51003050101006,0,0
10,10,51003050101006,0,0
11,11,51003050101006,0,0
12,12,51003050101006,0,0
1,1,51003050301003,0,0
2,2,51003050301003,0,0
3,3,51003050301003,0,0
4,4,51003050301003,0,0
5,5,51003050301003,0,0
6,7,51003050301003,2,2
7,7,51003050301003,0,0
8,8,51003050301003,0,0
9,9,51003050301003,0,0
10,10,51003050301003,0,0
11,11,51003050301003,0,0
12,12,51003050301003,0,0
1,1,51003090402001,0,0
2,2,51003090402001,0,0
3,3,51003090402001,0,0
4,4,51003090402001,0,0
5,5,51003090402001,3,3
6,6,51003090402001,0,0
7,7,51003090402001,0,0
8,8,51003090402001,2,2
9,9,51003090402001,0,0
10,10,51003090402001,2,2
11,11,51003090402001,0,0
12,12,51003090402001,0,0
1,1,51003100124001,140,70
2,2,51003100124001,50,50
3,4,51003100124001,40,40
4,5,51003100124001,120,60
5,5,51003100124001,60,60
6,6,51003100124001,50,50
7,8,51003100124001,100,50
8,9,51003100124001,50,50
9,9,51003100124001,0,0
10,11,51003100124001,70,70
11,11,51003100124001,0,0
12,12,51003100124001,0,0
1,1,51003100124011,0,0
2,2,51003100124011,0,0
3,3,51003100124011,0,0
4,4,51003100124011,0,0
5,5,51003100124011,0,0
6,6,51003100124011,0,0
7,7,51003100124011,14,14
8,8,51003100124011,0,0
9,9,51003100124011,0,0
10,10,51003100124011,0,0
11,11,51003100124011,0,0
12,12,51003100124011,0,0
1,1,51004010103011,0,0
2,2,51004010103011,0,0
3,3,51004010103011,0,0
4,4,51004010103011,0,0
5,5,51004010103011,0,0
6,6,51004010103011,0,0
7,7,51004010103011,0,0
8,8,51004010103011,0,0
9,9,51004010103011,0,0
10,10,51004010103011,0,0
11,11,51004010103011,5,5
12,12,51004010103011,0,0
1,1,51004010105008,0,0
2,2,51004010105008,0,0
3,3,51004010105008,0,0
4,4,51004010105008,0,0
5,5,51004010105008,0,0
6,6,51004010105008,0,0
7,7,51004010105008,0,0
8,8,51004010105008,2,2
9,9,51004010105008,0,0
10,10,51004010105008,0,0
11,11,51004010105008,0,0
12,12,51004010105008,0,0
1,1,51004010105012,0,0
2,2,51004010105012,0,0
3,3,51004010105012,0,0
4,4,51004010105012,0,0
5,5,51004010105012,0,0
6,6,51004010105012,0,0
7,7,51004010105012,0,0
8,8,51004010105012,0,0
9,9,51004010105012,0,0
10,10,51004010105012,0,0
11,11,51004010105012,3,3
12,12,51004010105012,0,0
1,1,51004070302014,0,0
2,2,51004070302014,0,0
3,3,51004070302014,0,0
4,4,51004070302014,0,0
5,5,51004070302014,0,0
6,6,51004070302014,0,0
7,7,51004070302014,0,0
8,8,51004070302014,5,5
9,9,51004070302014,0,0
10,10,51004070302014,0,0
11,11,51004070302014,0,0
12,12,51004070302014,0,0
1,1,51004070303011,0,0
2,2,51004070303011,0,0
3,3,51004070303011,0,0
4,4,51004070303011,0,0
5,5,51004070303011,0,0
6,6,51004070303011,0,0
7,7,51004070303011,0,0
8,9,51004070303011,2,2
9,9,51004070303011,0,0
10,10,51004070303011,0,0
11,11,51004070303011,0,0
12,12,51004070303011,0,0
1,1,51004100104002,0,0
2,2,51004100104002,0,0
3,3,51004100104002,0,0
4,4,51004100104002,0,0
5,5,51004100104002,0,0
6,6,51004100104002,0,0
7,7,51004100104002,0,0
8,9,51004100104002,2,2
9,9,51004100104002,2,2
9,10,51004100104002,2,2
10,10,51004100104002,3,3
11,11,51004100104002,2,2
12,12,51004100104002,0,0
1,1,51004110124018,0,0
2,2,51004110124018,0,0
3,3,51004110124018,0,0
4,4,51004110124018,0,0
5,5,51004110124018,0,0
6,6,51004110124018,0,0
7,7,51004110124018,5,5
8,8,51004110124018,0,0
9,9,51004110124018,0,0
10,10,51004110124018,0,0
11,11,51004110124018,0,0
12,12,51004110124018,0,0
1,1,51004110124106,0,0
2,2,51004110124106,0,0
3,3,51004110124106,0,0
4,4,51004110124106,1,1
5,5,51004110124106,0,0
6,6,51004110124106,0,0
7,7,51004110124106,0,0
8,8,51004110124106,0,0
9,9,51004110124106,0,0
10,10,51004110124106,0,0
11,11,51004110124106,0,0
12,12,51004110124106,0,0
1,1,51004110124107,0,0
2,2,51004110124107,0,0
3,3,51004110124107,0,0
4,4,51004110124107,1,1
5,5,51004110124107,0,0
6,6,51004110124107,0,0
7,7,51004110124107,0,0
8,8,51004110124107,0,0
9,9,51004110124107,0,0
10,10,51004110124107,0,0
11,11,51004110124107,0,0
12,12,51004110124107,0,0
1,1,51007010124002,0,0
2,2,51007010124002,0,0
3,3,51007010124002,10,10
4,4,51007010124002,5,5
5,5,51007010124002,0,0
6,6,51007010124002,0,0
7,7,51007010124002,0,0
8,8,51007010124002,5,5
8,9,51007010124002,5,5
9,9,51007010124002,0,0
10,11,51007010124002,6,6
11,11,51007010124002,8,8
11,12,51007010124002,8,8
12,12,51007010124002,0,0
1,1,51007030101007,0,0
2,2,51007030101007,0,0
3,3,51007030101007,0,0
4,4,51007030101007,0,0
5,5,51007030101007,0,0
6,6,51007030101007,0,0
7,7,51007030101007,5,5
8,8,51007030101007,0,0
9,9,51007030101007,0,0
10,10,51007030101007,0,0
11,11,51007030101007,0,0
12,12,51007030101007,0,0
1,1,51007030103002,0,0
2,2,51007030103002,0,0
3,3,51007030103002,1,1
4,4,51007030103002,0,0
5,5,51007030103002,0,0
6,6,51007030103002,0,0
7,7,51007030103002,0,0
8,8,51007030103002,0,0
9,9,51007030103002,0,0
10,10,51007030103002,0,0
11,11,51007030103002,0,0
12,12,51007030103002,0,0
1,1,51007030301005,0,0
2,2,51007030301005,0,0
3,3,51007030301005,1,1
4,4,51007030301005,0,0
5,5,51007030301005,0,0
6,6,51007030301005,0,0
7,7,51007030301005,0,0
8,8,51007030301005,0,0
9,9,51007030301005,0,0
10,10,51007030301005,0,0
11,11,51007030301005,0,0
12,12,51007030301005,0,0
1,1,51007030402001,0,0
2,2,51007030402001,30,30
3,3,51007030402001,0,0
4,4,51007030402001,30,30
5,5,51007030402001,0,0
6,6,51007030402001,0,0
7,7,51007030402001,0,0
8,8,51007030402001,30,30
9,9,51007030402001,0,0
10,11,51007030402001,30,30
11,11,51007030402001,0,0
12,12,51007030402001,0,0
1,1,51007030701010,10,10
2,2,51007030701010,20,20
3,3,51007030701010,30,30
4,4,51007030701010,10,10
5,5,51007030701010,50,30
5,6,51007030701010,20,20
6,6,51007030701010,20,20
7,7,51007030701010,10,10
8,8,51007030701010,0,0
10,10,51007030701010,0,0
11,11,51007030701010,0,0
1,1,51007030701011,10,10
2,2,51007030701011,20,20
3,3,51007030701011,40,40
4,4,51007030701011,10,10
5,5,51007030701011,0,0
6,6,51007030701011,0,0
7,7,51007030701011,40,40
8,8,51007030701011,10,10
8,9,51007030701011,10,10
9,9,51007030701011,0,0
11,11,51007030701011,0,0
12,12,51007030701011,0,0
1,1,51008010303001,0,0
2,2,51008010303001,10,10
3,3,51008010303001,40,40
4,4,51008010303001,20,20
5,5,51008010303001,20,20
5,6,51008010303001,20,20
6,6,51008010303001,20,20
7,7,51008010303001,40,40
7,8,51008010303001,20,20
8,8,51008010303001,20,20
9,9,51008010303001,20,20
10,10,51008010303001,50,50
11,11,51008010303001,0,0
12,12,51008010303001,0,0
1,1,51008010303002,2,2
2,2,51008010303002,4,4
3,3,51008010303002,2,2
3,4,51008010303002,3,3
4,4,51008010303002,3,3
4,5,51008010303002,1,1
5,5,51008010303002,0,0
6,6,51008010303002,0,0
7,7,51008010303002,0,0
8,8,51008010303002,0,0
9,9,51008010303002,0,0
10,10,51008010303002,1,1
11,11,51008010303002,0,0
1,1,51008020102001,0,0
2,2,51008020102001,0,0
3,3,51008020102001,0,0
4,4,51008020102001,0,0
5,5,51008020102001,0,0
6,6,51008020102001,0,0
7,7,51008020102001,0,0
8,8,51008020102001,0,0
9,9,51008020102001,0,0
10,11,51008020102001,1,1
11,11,51008020102001,2,2
12,12,51008020102001,0,0
1,1,51010010318007,0,0
2,2,51010010318007,0,0
3,3,51010010318007,0,0
4,4,51010010318007,0,0
5,5,51010010318007,0,0
6,6,51010010318007,0,0
7,7,51010010318007,2,2
8,8,51010010318007,0,0
9,9,51010010318007,0,0
10,10,51010010318007,0,0
11,11,51010010318007,0,0
12,12,51010010318007,0,0
1,1,51010010318043,0,0
2,2,51010010318043,0,0
3,3,51010010318043,0,0
4,4,51010010318043,0,0
5,5,51010010318043,0,0
6,6,51010010318043,0,0
7,7,51010010318043,0,0
8,8,51010010318043,0,0
9,9,51010010318043,0,0
10,10,51010010318043,0,0
11,11,51010010318043,4,4
12,12,51010010318043,0,0
1,1,51010010318054,0,0
2,2,51010010318054,0,0
3,3,51010010318054,0,0
4,4,51010010318054,2,2
5,5,51010010318054,0,0
6,6,51010010318054,0,0
7,7,51010010318054,2,2
8,8,51010010318054,0,0
9,9,51010010318054,0,0
10,11,51010010318054,2,2
11,11,51010010318054,0,0
12,12,51010010318054,0,0
1,1,51010050124004,0,0
2,2,51010050124004,0,0
3,3,51010050124004,0,0
4,4,51010050124004,0,0
5,5,51010050124004,0,0
6,6,51010050124004,0,0
7,7,51010050124004,0,0
8,8,51010050124004,0,0
9,9,51010050124004,0,0
10,11,51010050124004,4,4
11,11,51010050124004,0,0
12,12,51010050124004,0,0
1,1,51013010108001,0,0
2,2,51013010108001,0,0
3,3,51013010108001,0,0
4,4,51013010108001,2,2
5,5,51013010108001,0,0
6,6,51013010108001,0,0
7,7,51013010108001,4,4
8,8,51013010108001,0,0
9,9,51013010108001,0,0
10,10,51013010108001,0,0
11,11,51013010108001,0,0
12,12,51013010108001,0,0
1,1,51013020103005,5,5
2,2,51013020103005,0,0
3,3,51013020103005,0,0
4,4,51013020103005,0,0
5,5,51013020103005,0,0
6,6,51013020103005,0,0
7,7,51013020103005,0,0
8,8,51013020103005,0,0
9,9,51013020103005,0,0
10,10,51013020103005,5,5
11,11,51013020103005,0,0
12,12,51013020103005,0,0
1,1,51013050224001,0,0
2,2,51013050224001,0,0
3,3,51013050224001,0,0
4,4,51013050224001,0,0
5,5,51013050224001,0,0
6,6,51013050224001,0,0
7,7,51013050224001,0,0
8,8,51013050224001,1,1
9,9,51013050224001,0,0
10,10,51013050224001,0,0
11,11,51013050224001,0,0
12,12,51013050224001,0,0
1,1,51014010202002,0,0
2,2,51014010202002,0,0
3,3,51014010202002,0,0
4,4,51014010202002,0,0
5,5,51014010202002,0,0
6,6,51014010202002,0,0
7,7,51014010202002,2,2
8,8,51014010202002,0,0
9,9,51014010202002,0,0
10,10,51014010202002,0,0
11,11,51014010202002,2,2
12,12,51014010202002,0,0
1,1,51014010202020,0,0
2,2,51014010202020,0,0
3,3,51014010202020,0,0
4,4,51014010202020,0,0
5,5,51014010202020,0,0
6,6,51014010202020,0,0
7,7,51014010202020,0,0
8,8,51014010202020,0,0
9,9,51014010202020,0,0
10,11,51014010202020,1,1
11,11,51014010202020,0,0
12,12,51014010202020,0,0
1,1,51014010202022,0,0
2,2,51014010202022,0,0
3,3,51014010202022,1,1
4,4,51014010202022,0,0
5,5,51014010202022,0,0
6,6,51014010202022,0,0
7,7,51014010202022,0,0
8,8,51014010202022,0,0
9,9,51014010202022,0,0
10,11,51014010202022,1,1
11,11,51014010202022,0,0
12,12,51014010202022,0,0
1,1,51014020124001,0,0
2,2,51014020124001,0,0
3,3,51014020124001,0,0
4,4,51014020124001,0,0
5,5,51014020124001,0,0
6,6,51014020124001,0,0
7,7,51014020124001,0,0
8,8,51014020124001,0,0
9,9,51014020124001,0,0
10,10,51014020124001,0,0
11,11,51014020124001,5,5
12,12,51014020124001,0,0
1,1,51014020207007,0,0
2,2,51014020207007,0,0
3,3,51014020207007,0,0
4,4,51014020207007,0,0
5,5,51014020207007,0,0
6,6,51014020207007,0,0
7,7,51014020207007,0,0
8,9,51014020207007,25,25
9,9,51014020207007,0,0
10,10,51014020207007,0,0
11,11,51014020207007,0,0
12,12,51014020207007,0,0
1,1,51014050308001,30,30
1,2,51014050308001,10,10
2,2,51014050308001,30,30
3,3,51014050308001,30,30
4,4,51014050308001,30,30
5,5,51014050308001,40,40
6,6,51014050308001,20,20
7,7,51014050308001,40,40
8,8,51014050308001,60,60
9,9,51014050308001,10,10
10,10,51014050308001,30,30
11,11,51014050308001,70,70
12,12,51014050308001,0,0
1,1,51018030111007,0,0
2,2,51018030111007,0,0
3,3,51018030111007,0,0
4,4,51018030111007,0,0
5,5,51018030111007,0,0
6,6,51018030111007,0,0
7,7,51018030111007,0,0
8,8,51018030111007,0,0
9,9,51018030111007,0,0
10,10,51018030111007,13,13
11,11,51018030111007,0,0
12,12,51018030111007,0,0
1,1,51018060124004,4,4
2,2,51018060124004,0,0
3,3,51018060124004,2,2
4,4,51018060124004,0,0
5,5,51018060124004,3,3
6,6,51018060124004,0,0
7,7,51018060124004,0,0
8,8,51018060124004,0,0
9,9,51018060124004,0,0
10,10,51018060124004,0,0
11,12,51018060124004,1,1
12,12,51018060124004,0,0
1,1,51019011101004,0,0
2,2,51019011101004,0,0
3,3,51019011101004,0,0
4,4,51019011101004,0,0
5,5,51019011101004,0,0
6,6,51019011101004,0,0
7,7,51019011101004,0,0
8,8,51019011101004,0,0
9,9,51019011101004,0,0
10,10,51019011101004,1,1
11,11,51019011101004,2,2
12,12,51019011101004,0,0
1,1,51019011101005,0,0
2,2,51019011101005,0,0
3,3,51019011101005,0,0
4,4,51019011101005,1,1
5,5,51019011101005,0,0
6,6,51019011101005,0,0
7,7,51019011101005,0,0
8,8,51019011101005,0,0
9,9,51019011101005,0,0
10,10,51019011101005,0,0
11,11,51019011101005,0,0
12,12,51019011101005,0,0
1,1,51019011201005,0,0
2,2,51019011201005,1,1
3,3,51019011201005,0,0
4,4,51019011201005,1,1
5,5,51019011201005,0,0
6,6,51019011201005,0,0
7,7,51019011201005,0,0
8,8,51019011201005,0,0
9,9,51019011201005,0,0
10,10,51019011201005,1,1
11,11,51019011201005,2,2
12,12,51019011201005,0,0
1,1,51019011201006,0,0
2,2,51019011201006,0,0
3,3,51019011201006,0,0
4,4,51019011201006,0,0
5,5,51019011201006,0,0
6,6,51019011201006,0,0
7,7,51019011201006,0,0
8,8,51019011201006,0,0
9,9,51019011201006,0,0
10,10,51019011201006,0,0
11,11,51019011201006,2,2
12,12,51019011201006,0,0
1,1,51019011201010,0,0
2,2,51019011201010,0,0
3,3,51019011201010,0,0
4,4,51019011201010,1,1
5,5,51019011201010,0,0
6,6,51019011201010,0,0
7,7,51019011201010,0,0
8,8,51019011201010,0,0
9,9,51019011201010,0,0
10,10,51019011201010,0,0
11,11,51019011201010,3,3
12,12,51019011201010,0,0
1,1,51022030105005,0,0
2,2,51022030105005,0,0
3,3,51022030105005,0,0
4,4,51022030105005,0,0
5,5,51022030105005,0,0
6,6,51022030105005,0,0
7,7,51022030105005,0,0
8,8,51022030105005,0,0
9,9,51022030105005,0,0
10,10,51022030105005,0,0
11,11,51022030105005,1,1
12,12,51022030105005,0,0
1,1,51022060402010,0,0
2,2,51022060402010,0,0
3,3,51022060402010,0,0
4,5,51022060402010,1,1
5,5,51022060402010,0,0
6,6,51022060402010,0,0
7,7,51022060402010,0,0
8,8,51022060402010,3,3
9,9,51022060402010,0,0
10,10,51022060402010,0,0
11,11,51022060402010,0,0
12,12,51022060402010,0,0
1,1,51022070125009,5,5
2,2,51022070125009,0,0
3,3,51022070125009,5,5
4,4,51022070125009,0,0
5,5,51022070125009,5,5
6,6,51022070125009,5,5
7,7,51022070125009,0,0
8,8,51022070125009,10,10
9,9,51022070125009,0,0
10,10,51022070125009,10,10
11,11,51022070125009,0,0
1,1,51022070125010,0,0
2,2,51022070125010,0,0
3,3,51022070125010,0,0
4,4,51022070125010,0,0
5,5,51022070125010,2,2
6,6,51022070125010,0,0
7,7,51022070125010,2,2
8,8,51022070125010,0,0
9,9,51022070125010,0,0
10,10,51022070125010,0,0
11,11,51022070125010,0,0
12,12,51022070125010,0,0
1,1,51022070125064,0,0
2,2,51022070125064,5,5
3,3,51022070125064,0,0
4,4,51022070125064,0,0
5,5,51022070125064,0,0
6,6,51022070125064,0,0
7,7,51022070125064,0,0
8,8,51022070125064,0,0
9,9,51022070125064,0,0
10,10,51022070125064,0,0
11,11,51022070125064,5,5
12,12,51022070125064,0,0
1,1,51022070125066,0,0
2,2,51022070125066,0,0
3,3,51022070125066,0,0
4,4,51022070125066,0,0
5,5,51022070125066,0,0
6,6,51022070125066,0,0
7,7,51022070125066,0,0
8,8,51022070125066,0,0
9,9,51022070125066,0,0
10,10,51022070125066,0,0
11,11,51022070125066,1,1
12,12,51022070125066,0,0
1,1,51022070125070,0,0
2,2,51022070125070,0,0
3,3,51022070125070,0,0
4,4,51022070125070,0,0
5,5,51022070125070,0,0
6,6,51022070125070,0,0
7,7,51022070125070,0,0
8,8,51022070125070,0,0
9,9,51022070125070,0,0
10,10,51022070125070,0,0
11,11,51022070125070,1,1
12,12,51022070125070,0,0
1,2,51022070125075,2,2
2,2,51022070125075,0,0
3,3,51022070125075,0,0
4,4,51022070125075,2,2
5,5,51022070125075,0,0
6,6,51022070125075,0,0
7,7,51022070125075,0,0
8,8,51022070125075,0,0
9,9,51022070125075,3,3
10,10,51022070125075,0,0
11,11,51022070125075,0,0
12,12,51022070125075,0,0
1,1,51022070125076,0,0
2,2,51022070125076,0,0
3,3,51022070125076,0,0
4,4,51022070125076,2,1
5,5,51022070125076,0,0
6,6,51022070125076,0,0
7,7,51022070125076,0,0
8,8,51022070125076,2,2
9,9,51022070125076,0,0
10,10,51022070125076,0,0
11,11,51022070125076,0,0
12,12,51022070125076,0,0
1,1,51022070125077,0,0
2,2,51022070125077,0,0
3,3,51022070125077,0,0
4,4,51022070125077,0,0
5,5,51022070125077,0,0
6,6,51022070125077,0,0
7,7,51022070125077,1,1
8,8,51022070125077,0,0
9,9,51022070125077,0,0
10,10,51022070125077,0,0
11,11,51022070125077,0,0
12,12,51022070125077,0,0
1,1,51022070125083,0,0
2,2,51022070125083,0,0
3,3,51022070125083,0,0
4,5,51022070125083,1,1
5,5,51022070125083,0,0
6,6,51022070125083,0,0
7,7,51022070125083,1,1
8,8,51022070125083,0,0
9,9,51022070125083,0,0
10,11,51022070125083,1,1
11,11,51022070125083,1,1
12,12,51022070125083,0,0
1,1,51022070125085,0,0
2,2,51022070125085,0,0
3,3,51022070125085,0,0
4,4,51022070125085,0,0
5,5,51022070125085,1,1
6,6,51022070125085,0,0
7,7,51022070125085,0,0
8,8,51022070125085,0,0
9,9,51022070125085,0,0
10,10,51022070125085,0,0
11,11,51022070125085,1,1
12,12,51022070125085,0,0
1,1,51022070125086,0,0
2,2,51022070125086,0,0
3,3,51022070125086,6,6
